id_club;id_dojo;titre;adresse;cp;ville
8353;9220;Dojo (A) GYMNASE CHARLES PEGUY;RUE ALEXANDRE DUMAS;01000 BOURG EN BRESSE
8353;9221;Dojo (B) SALLE SPORTS DU BUGEY - ECOLE MUNICIPALE;RUE DU BUGEY;01320;CHALAMONT
8353;9222;Dojo (C) GYMNASE DE LA CROIX BLANCHE;RUE DES DIMES;01000;BOURG EN BRESSE
8899;2350;Dojo (A) COSEC CLAUDIUS FAVIER;1 RUE DU DR DUBY;01000;BOURG EN BRESSE
8899;2351;Dojo (B) GYMNASE DE ST ROCH;rue Charles Demia;01000;BOURG EN BRESSE
4312;6859;Dojo (A) JUDO CLUB THILLOIS THIL;3 BIS IMPASSE JEAN JAURES;54880;THIL
9213;7873;Dojo (B) LEO LAGRANGE;16 rue de l orne;54320;MAXEVILLE
10287;9446;Dojo (D) ALLIANCE JUDO TOULOIS - MJC;RUE DU LIEUTENANT CLERC;54112;ALLAMPS
4280;5418;Dojo (A) MAISON DES ASSOCIATIONS;02 RUE DU PUISAT;54113;BLENOD LES TOUL
4373;1485;Dojo (A) CLAUDE MAS;RUE DU STADE;54114;JEANDELAINCOURT
9220;3050;Dojo (C) SALLE DE JUDO;CENTRE CULTUREL ET SPORTIF;14410;VASSY
9220;3051;Dojo (D) SALLE DE L ELAN;6 RUE DE L AUNAY;61800;SOURDEVAL
258;4785;Dojo (A) DOJO Muncipal;STADE LEO LAGRANGE;62122;LAPUGNOY
229;2083;Dojo (A) SALLE DES FETES;GRANDE PLACE;62128;CROISILLES
267;402;Dojo (B) GONNEHEM;135 RUE DES PRES, ANCIENNE ECOLE JULES VERNE;62920;GONNEHEM
267;403;Dojo (C) GUARBECQUE - SALLE DES ASSOCIATIONS;RUE DU PETIT CARLUY;62330;GUARBECQUE
267;404;Dojo (D) SAILLY SUR LA LYS;RUE DE LA BRIQUETTERIE;62840;SAILLY SUR LYS
267;405;Dojo (E) ESSARS - SALLE DES SPORTS;RUE DU HUIT MAI;62400;ESSARS
267;406;Dojo (F) ANNEZIN - SALLE ROQUELAURE DOJO;AVENUE DE VERDUN;62232;ANNEZIN
7055;5387;Dojo (A) GLACIERE GYMNASE;88 RUE DE LA GLACIERE;75013;PARIS
11270;9286;Dojo (A) JUDO CLUB  DOJO MEYTHET - SALLE LE METEORE;27 ROUTE DE FRANGY;74960;MEYTHET
